SYMBOL PRICE DATE
AAPL	112.34	2024-02-28
GOOGL	876.54	2024-01-27
MSFT	223.45	2024-02-26
AMZN	334.56	2024-02-25
TSLA	445.67	2024-02-24
FB	556.78	2024-02-23
NFLX	667.89	2024-02-22
NVDA	778.90	2024-02-21
INTC	889.01	2024-02-20
AMD	900.12	2024-02-19
AAPL	112.34	2024-02-18
GOOGL	876.54	2024-02-17
MSFT	223.45	2024-02-16
AMZN	334.56	2024-02-15
TSLA	445.67	2024-02-14
FB	556.78	2024-02-13
NFLX	667.89	2024-02-12
NVDA	778.90	2024-02-11
INTC	889.01	2024-02-10
AMD	900.12	2024-02-09
AAPL	112.34	2024-02-08
GOOGL	876.54	2024-02-07
MSFT	223.45	2024-02-06
AMZN	334.56	2024-02-05
TSLA	445.67	2024-02-04
FB	556.78	2024-02-03
NFLX	667.89	2024-02-02
NVDA	778.90	2024-02-01
INTC	889.01	2024-01-31
AMD	900.12	2024-01-30
AAPL	112.34	2024-01-29
GOOGL	876.54	2024-01-28
MSFT	223.45	2024-01-27
AMZN	334.56	2024-01-26
TSLA	445.67	2024-01-25
FB	556.78	2024-01-24
NFLX	667.89	2024-01-23
NVDA	778.90	2024-01-22
INTC	889.01	2024-01-21
AMD	900.12	2024-01-20
AAPL	112.34	2024-01-19
GOOGL	876.54	2024-01-18
MSFT	223.45	2024-01-17
AMZN	334.56	2024-01-16
TSLA	445.67	2024-01-15
FB	556.78	2024-01-14
NFLX	667.89	2024-01-13
NVDA	778.90	2024-01-12
